# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\CodeFPGA\DKTocDoDC\LCD_control\top_level.csv
# Generated on: Tue Nov 18 09:27:15 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clear,Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
clk_50mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
en,Output,PIN_L4,1,B1_N1,PIN_L4,2.5 V,,,,,
pin_data[7],Output,PIN_M5,1,B1_N2,PIN_M5,2.5 V,,,,,
pin_data[6],Output,PIN_M3,1,B1_N1,PIN_M3,2.5 V,,,,,
pin_data[5],Output,PIN_K2,1,B1_N1,PIN_K2,2.5 V,,,,,
pin_data[4],Output,PIN_K1,1,B1_N1,PIN_K1,2.5 V,,,,,
pin_data[3],Output,PIN_K7,1,B1_N1,PIN_K7,2.5 V,,,,,
pin_data[2],Output,PIN_L2,1,B1_N2,PIN_L2,2.5 V,,,,,
pin_data[1],Output,PIN_L1,1,B1_N2,PIN_L1,2.5 V,,,,,
pin_data[0],Output,PIN_L3,1,B1_N1,PIN_L3,2.5 V,,,,,
rs,Output,PIN_M2,1,B1_N2,PIN_M2,2.5 V,,,,,
rst_n,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
rw,Output,PIN_M1,1,B1_N2,PIN_M1,2.5 V,,,,,
