# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\2024\FPGA\codeFPGA_NIOS2\Bai2_1_ledMatrix\ledMatrix.csv
# Generated on: Fri Nov 01 15:36:01 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
altera_reserved_tck,Input,,,,PIN_P5,,,,,,
altera_reserved_tdi,Input,,,,PIN_P7,,,,,,
altera_reserved_tdo,Output,,,,PIN_P6,,,,,,
altera_reserved_tms,Input,,,,PIN_P8,,,,,,
c1_export,Input,PIN_AE16,4,B4_N2,PIN_H16,,,,,,
c2_export,Input,PIN_AD21,4,B4_N0,PIN_G16,,,,,,
c3_export,Input,PIN_Y16,4,B4_N0,PIN_E17,,,,,,
c4_export,Input,PIN_AC21,4,B4_N0,PIN_M23,,,,,,
clk_clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
r1_export,Output,PIN_Y17,4,B4_N0,PIN_M24,,,,,,
r2_export,Output,PIN_AB21,4,B4_N0,PIN_F17,,,,,,
r3_export,Output,PIN_AC15,4,B4_N2,PIN_H17,,,,,,
r4_export,Output,PIN_AB22,4,B4_N0,PIN_G15,,,,,,
reset_reset_n,Input,PIN_M23,6,B6_N2,PIN_Y2,,,,,,
