# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\2024\FPGA\codeFPGA_NIOS2\Bai3\gpio.csv
# Generated on: Thu Oct 10 16:39:16 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
altera_reserved_tck,Input,,,,PIN_P5,,,,,,
altera_reserved_tdi,Input,,,,PIN_P7,,,,,,
altera_reserved_tdo,Output,,,,PIN_P6,,,,,,
altera_reserved_tms,Input,,,,PIN_P8,,,,,,
button,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
clock_50mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
lcd_EN,Output,PIN_L4,1,B1_N1,PIN_E17,,,,,,
lcd_RS,Output,PIN_M2,1,B1_N2,PIN_J17,,,,,,
lcd_RW,Output,PIN_M1,1,B1_N2,PIN_G15,,,,,,
lcd_data[7],Output,PIN_M5,1,B1_N2,PIN_J16,,,,,,
lcd_data[6],Output,PIN_M3,1,B1_N1,PIN_A17,,,,,,
lcd_data[5],Output,PIN_K2,1,B1_N1,PIN_C16,,,,,,
lcd_data[4],Output,PIN_K1,1,B1_N1,PIN_H17,,,,,,
lcd_data[3],Output,PIN_K7,1,B1_N1,PIN_H16,,,,,,
lcd_data[2],Output,PIN_L2,1,B1_N2,PIN_F17,,,,,,
lcd_data[1],Output,PIN_L1,1,B1_N2,PIN_D16,,,,,,
lcd_data[0],Output,PIN_L3,1,B1_N1,PIN_B17,,,,,,
led_out[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
led_out[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
led_out[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
led_out[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
led_out[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
led_out[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
led_out[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
led_out[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
