# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\2024\FPGA\codeFPGA_NIOS2\Bai6-I2C-ADS1115-BLUE\I2C.csv
# Generated on: Tue Nov 05 16:12:21 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
SW1,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
altera_reserved_tck,Input,,,,PIN_P5,,,,,,
altera_reserved_tdi,Input,,,,PIN_P7,,,,,,
altera_reserved_tdo,Output,,,,PIN_P6,,,,,,
altera_reserved_tms,Input,,,,PIN_P8,,,,,,
clk_50Mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
i2c_0_scl,Bidir,PIN_AG22,4,B4_N1,PIN_AG22,2.5 V,,,,,
i2c_0_sda,Bidir,PIN_AH22,4,B4_N1,PIN_AH22,2.5 V,,,,,
led1[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
led1[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
led1[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
led1[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
led1[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
led1[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
led1[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
led2[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
led2[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
led2[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
led2[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
led2[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
led2[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
led2[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
led3[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
led3[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
led3[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
led3[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
led3[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
led3[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
led3[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
led4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
led4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
led4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
led4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
led4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
led4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
led4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
led5[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
led5[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
led5[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
led5[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
led5[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
led5[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
led5[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
led6[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
led6[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
led6[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
led6[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
led6[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
led6[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
led6[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
rx,Input,PIN_AF24,4,B4_N1,PIN_AG15,,,,,,
tx,Output,PIN_AF25,4,B4_N1,PIN_AE16,,,,,,
