# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\2024\FPGA\codeFPGAL_LIB\Camera_OV7670_stream\top_ov7670.csv
# Generated on: Fri Aug 16 10:18:24 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DATA_CAMERA[7],Input,PIN_AE16,4,B4_N2,PIN_AE16,2.5 V,,,,,
DATA_CAMERA[6],Input,PIN_AD21,4,B4_N0,PIN_AD21,2.5 V,,,,,
DATA_CAMERA[5],Input,PIN_Y16,4,B4_N0,PIN_Y16,2.5 V,,,,,
DATA_CAMERA[4],Input,PIN_AC21,4,B4_N0,PIN_AC21,2.5 V,,,,,
DATA_CAMERA[3],Input,PIN_Y17,4,B4_N0,PIN_Y17,2.5 V,,,,,
DATA_CAMERA[2],Input,PIN_AB21,4,B4_N0,PIN_AB21,2.5 V,,,,,
DATA_CAMERA[1],Input,PIN_AC15,4,B4_N2,PIN_AC15,2.5 V,,,,,
DATA_CAMERA[0],Input,PIN_AB22,4,B4_N0,PIN_AB22,2.5 V,,,,,
HREF_CAMERA,Input,PIN_AC19,4,B4_N0,PIN_AC19,2.5 V,,,,,
PCLK_CAMERA,Input,PIN_AE15,4,B4_N2,PIN_AE15,2.5 V,,,,,
SRAM_ADDR[19],Output,PIN_T8,2,B2_N1,PIN_T8,2.5 V,,,,,
SRAM_ADDR[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,2.5 V,,,,,
