# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\DELL\Desktop\FPGA_VOICE\MIC_Audio_PLAY\top.csv
# Generated on: Wed Mar 25 16:11:57 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
I2C_SDAT,Bidir,PIN_A8,8,B8_N1,PIN_A8,2.5 V,,,,,
I2C_SLCK,Output,PIN_B7,8,B8_N1,PIN_B7,2.5 V,,,,,
SRAM_ADDR[19],Output,PIN_T8,2,B2_N1,PIN_T8,2.5 V,,,,,
SRAM_ADDR[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,2.5 V,,,,,
SRAM_ADDR[17],Output,PIN_AB9,3,B3_N2,PIN_AB9,2.5 V,,,,,
SRAM_ADDR[16],Output,PIN_AC11,3,B3_N0,PIN_AC11,2.5 V,,,,,
SRAM_ADDR[15],Output,PIN_AB11,3,B3_N1,PIN_AB11,2.5 V,,,,,
SRAM_ADDR[14],Output,PIN_AA4,2,B2_N1,PIN_AA4,2.5 V,,,,,
SRAM_ADDR[13],Output,PIN_AC3,2,B2_N1,PIN_AC3,2.5 V,,,,,
SRAM_ADDR[12],Output,PIN_AB4,2,B2_N2,PIN_AB4,2.5 V,,,,,
SRAM_ADDR[11],Output,PIN_AD3,2,B2_N1,PIN_AD3,2.5 V,,,,,
SRAM_ADDR[10],Output,PIN_AF2,2,B2_N2,PIN_AF2,2.5 V,,,,,
SRAM_ADDR[9],Output,PIN_T7,2,B2_N0,PIN_T7,2.5 V,,,,,
SRAM_ADDR[8],Output,PIN_AF5,3,B3_N2,PIN_AF5,2.5 V,,,,,
SRAM_ADDR[7],Output,PIN_AC5,2,B2_N2,PIN_AC5,2.5 V,,,,,
SRAM_ADDR[6],Output,PIN_AB5,2,B2_N2,PIN_AB5,2.5 V,,,,,
SRAM_ADDR[5],Output,PIN_AE6,3,B3_N2,PIN_AE6,2.5 V,,,,,
SRAM_ADDR[4],Output,PIN_AB6,2,B2_N2,PIN_AB6,2.5 V,,,,,
SRAM_ADDR[3],Output,PIN_AC7,3,B3_N2,PIN_AC7,2.5 V,,,,,
SRAM_ADDR[2],Output,PIN_AE7,3,B3_N1,PIN_AE7,2.5 V,,,,,
SRAM_ADDR[1],Output,PIN_AD7,3,B3_N2,PIN_AD7,2.5 V,,,,,
SRAM_ADDR[0],Output,PIN_AB7,3,B3_N1,PIN_AB7,2.5 V,,,,,
SRAM_CE_N,Output,PIN_AF8,3,B3_N1,PIN_AF8,2.5 V,,,,,
SRAM_DQ[15],Bidir,PIN_AG3,3,B3_N2,PIN_AG3,2.5 V,,,,,
SRAM_DQ[14],Bidir,PIN_AF3,3,B3_N2,PIN_AF3,2.5 V,,,,,
SRAM_DQ[13],Bidir,PIN_AE4,3,B3_N2,PIN_AE4,2.5 V,,,,,
SRAM_DQ[12],Bidir,PIN_AE3,2,B2_N2,PIN_AE3,2.5 V,,,,,
SRAM_DQ[11],Bidir,PIN_AE1,2,B2_N1,PIN_AE1,2.5 V,,,,,
SRAM_DQ[10],Bidir,PIN_AE2,2,B2_N1,PIN_AE2,2.5 V,,,,,
SRAM_DQ[9],Bidir,PIN_AD2,2,B2_N1,PIN_AD2,2.5 V,,,,,
SRAM_DQ[8],Bidir,PIN_AD1,2,B2_N1,PIN_AD1,2.5 V,,,,,
SRAM_DQ[7],Bidir,PIN_AF7,3,B3_N1,PIN_AF7,2.5 V,,,,,
SRAM_DQ[6],Bidir,PIN_AH6,3,B3_N2,PIN_AH6,2.5 V,,,,,
SRAM_DQ[5],Bidir,PIN_AG6,3,B3_N2,PIN_AG6,2.5 V,,,,,
SRAM_DQ[4],Bidir,PIN_AF6,3,B3_N2,PIN_AF6,2.5 V,,,,,
SRAM_DQ[3],Bidir,PIN_AH4,3,B3_N2,PIN_AH4,2.5 V,,,,,
SRAM_DQ[2],Bidir,PIN_AG4,3,B3_N2,PIN_AG4,2.5 V,,,,,
SRAM_DQ[1],Bidir,PIN_AF4,3,B3_N2,PIN_AF4,2.5 V,,,,,
SRAM_DQ[0],Bidir,PIN_AH3,3,B3_N2,PIN_AH3,2.5 V,,,,,
SRAM_LB_N,Output,PIN_AD4,3,B3_N2,PIN_AD4,2.5 V,,,,,
SRAM_OE_N,Output,PIN_AD5,3,B3_N2,PIN_AD5,2.5 V,,,,,
SRAM_UB_N,Output,PIN_AC4,2,B2_N2,PIN_AC4,2.5 V,,,,,
SRAM_WE_N,Output,PIN_AE8,3,B3_N1,PIN_AE8,2.5 V,,,,,
clk_8,Output,PIN_AG26,4,B4_N0,PIN_AG26,2.5 V,,,,,
clk_50mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
clk_256,Output,PIN_AH26,4,B4_N0,PIN_AH26,2.5 V,,,,,
data_input_wm8731,Output,PIN_AE24,4,B4_N0,PIN_AE24,2.5 V,,,,,
iAUD_ADCDAT,Input,PIN_D2,1,B1_N0,PIN_D2,2.5 V,,,,,
key1,Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
key2,Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
key3,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
led[15],Output,PIN_G15,7,B7_N2,PIN_G15,2.5 V,,,,,
led[14],Output,PIN_F15,7,B7_N2,PIN_F15,2.5 V,,,,,
led[13],Output,PIN_H17,7,B7_N2,PIN_H17,2.5 V,,,,,
led[12],Output,PIN_J16,7,B7_N2,PIN_J16,2.5 V,,,,,
led[11],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
led[10],Output,PIN_J15,7,B7_N2,PIN_J15,2.5 V,,,,,
led[9],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,
led[8],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,
led[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
led[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
led[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
led[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
led[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
led[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
led[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
led[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
led_done,Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
led_read,Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
led_record,Output,PIN_G20,7,B7_N1,PIN_G20,2.5 V,,,,,
led_write,Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
oAUD_ADCLRCK,Output,PIN_C2,1,B1_N0,PIN_C2,2.5 V,,,,,
