# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: D:\2024\FPGA\codeFPGAL_LIB\I2C_RTC\i2cControllerRTC.csv
# Generated on: Tue Jun 25 16:10:51 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clock,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
data[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
data[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
data[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
data[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
data[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
data[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
data[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
data[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
led7hour1[0],Output,PIN_AA17,4,B4_N1,PIN_AE25,,,,,,
led7hour1[1],Output,PIN_AB16,4,B4_N2,PIN_AF26,,,,,,
led7hour1[2],Output,PIN_AA16,4,B4_N2,PIN_AA17,,,,,,
led7hour1[3],Output,PIN_AB17,4,B4_N1,PIN_AH25,,,,,,
led7hour1[4],Output,PIN_AB15,4,B4_N2,PIN_AF21,,,,,,
led7hour1[5],Output,PIN_AA15,4,B4_N2,PIN_AG25,,,,,,
led7hour1[6],Output,PIN_AC17,4,B4_N2,PIN_AB17,,,,,,
led7hour2[0],Output,PIN_AD17,4,B4_N2,PIN_AF24,,,,,,
led7hour2[1],Output,PIN_AE17,4,B4_N2,PIN_AF25,,,,,,
led7hour2[2],Output,PIN_AG17,4,B4_N2,PIN_AE21,,,,,,
led7hour2[3],Output,PIN_AH17,4,B4_N2,PIN_AH23,,,,,,
led7hour2[4],Output,PIN_AF17,4,B4_N2,PIN_AG23,,,,,,
led7hour2[5],Output,PIN_AG18,4,B4_N2,PIN_AF20,,,,,,
led7hour2[6],Output,PIN_AA14,3,B3_N0,PIN_AE20,,,,,,
led7min1[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
led7min1[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
led7min1[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
led7min1[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
led7min1[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
led7min1[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
led7min1[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
led7min2[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
led7min2[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
led7min2[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
led7min2[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
led7min2[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
led7min2[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
led7min2[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
led7seg[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
led7seg[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
led7seg[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
led7seg[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
led7seg[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
led7seg[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
led7seg[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
led7seg2[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
led7seg2[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
led7seg2[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
led7seg2[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
led7seg2[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
led7seg2[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
led7seg2[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
scl,Output,PIN_AH22,4,B4_N1,PIN_AH22,2.5 V,,,,,
sda,Bidir,PIN_AG22,4,B4_N1,PIN_AG22,2.5 V,,,,,
