# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\2024\FPGA\codeFPGAL_LIB\IP CORDIC\top_level.csv
# Generated on: Sat Feb 22 08:18:58 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX1[6],Output,PIN_H22,6,B6_N0,PIN_Y17,,,,,,
HEX1[5],Output,PIN_J22,6,B6_N0,PIN_AF14,,,,,,
HEX1[4],Output,PIN_L25,6,B6_N1,PIN_AB14,,,,,,
HEX1[3],Output,PIN_L26,6,B6_N1,PIN_AA13,,,,,,
HEX1[2],Output,PIN_E17,7,B7_N2,PIN_K4,,,,,,
HEX1[1],Output,PIN_F22,7,B7_N0,PIN_AD17,,,,,,
HEX1[0],Output,PIN_G18,7,B7_N2,PIN_AA12,,,,,,
HEX2[6],Output,PIN_U24,5,B5_N0,PIN_F14,,,,,,
HEX2[5],Output,PIN_U23,5,B5_N1,PIN_A25,,,,,,
HEX2[4],Output,PIN_W25,5,B5_N1,PIN_AB15,,,,,,
HEX2[3],Output,PIN_W22,5,B5_N0,PIN_C11,,,,,,
HEX2[2],Output,PIN_W21,5,B5_N1,PIN_U23,,,,,,
HEX2[1],Output,PIN_Y22,5,B5_N0,PIN_F7,,,,,,
HEX2[0],Output,PIN_M24,6,B6_N2,PIN_F10,,,,,,
HEX3[6],Output,PIN_W28,5,B5_N1,PIN_AE2,,,,,,
HEX3[5],Output,PIN_W27,5,B5_N1,PIN_C4,,,,,,
HEX3[4],Output,PIN_Y26,5,B5_N1,PIN_AF12,,,,,,
