# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: D:\2024\FPGA\codeFPGAL_LIB\IP_SRAM_MEMORY\top.csv
# Generated on: Fri Aug  2 14:59:42 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
SRAM_ADDR[19],Output,PIN_T8,2,B2_N1,PIN_T8,2.5 V,,,,,
SRAM_ADDR[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,2.5 V,,,,,
SRAM_ADDR[17],Output,PIN_AB9,3,B3_N2,PIN_AB9,2.5 V,,,,,
SRAM_ADDR[16],Output,PIN_AC11,3,B3_N0,PIN_AC11,2.5 V,,,,,
SRAM_ADDR[15],Output,PIN_AB11,3,B3_N1,PIN_AB11,2.5 V,,,,,
SRAM_ADDR[14],Output,PIN_AA4,2,B2_N1,PIN_AA4,2.5 V,,,,,
SRAM_ADDR[13],Output,PIN_AC3,2,B2_N1,PIN_AC3,2.5 V,,,,,
SRAM_ADDR[12],Output,PIN_AB4,2,B2_N2,PIN_AB4,2.5 V,,,,,
SRAM_ADDR[11],Output,PIN_AD3,2,B2_N1,PIN_AD3,2.5 V,,,,,
SRAM_ADDR[10],Output,PIN_AF2,2,B2_N2,PIN_AF2,2.5 V,,,,,
SRAM_ADDR[9],Output,PIN_T7,2,B2_N0,PIN_T7,2.5 V,,,,,
SRAM_ADDR[8],Output,PIN_AF5,3,B3_N2,PIN_AF5,2.5 V,,,,,
SRAM_ADDR[7],Output,PIN_AC5,2,B2_N2,PIN_AC5,2.5 V,,,,,
SRAM_ADDR[6],Output,PIN_AB5,2,B2_N2,PIN_AB5,2.5 V,,,,,
SRAM_ADDR[5],Output,PIN_AE6,3,B3_N2,PIN_AE6,2.5 V,,,,,
SRAM_ADDR[4],Output,PIN_AB6,2,B2_N2,PIN_AB6,2.5 V,,,,,
SRAM_ADDR[3],Output,PIN_AC7,3,B3_N2,PIN_AC7,2.5 V,,,,,
SRAM_ADDR[2],Output,PIN_AE7,3,B3_N1,PIN_AE7,2.5 V,,,,,
SRAM_ADDR[1],Output,PIN_AD7,3,B3_N2,PIN_AD7,2.5 V,,,,,
SRAM_ADDR[0],Output,PIN_AB7,3,B3_N1,PIN_AB7,2.5 V,,,,,
SRAM_CE_N,Output,PIN_AF8,3,B3_N1,PIN_AF8,2.5 V,,,,,
SRAM_DQ[15],Bidir,PIN_AG3,3,B3_N2,PIN_AG3,2.5 V,,,,,
SRAM_DQ[14],Bidir,PIN_AF3,3,B3_N2,PIN_AF3,2.5 V,,,,,
SRAM_DQ[13],Bidir,PIN_AE4,3,B3_N2,PIN_AE4,2.5 V,,,,,
SRAM_DQ[12],Bidir,PIN_AE3,2,B2_N2,PIN_AE3,2.5 V,,,,,
SRAM_DQ[11],Bidir,PIN_AE1,2,B2_N1,PIN_AE1,2.5 V,,,,,
SRAM_DQ[10],Bidir,PIN_AE2,2,B2_N1,PIN_AE2,2.5 V,,,,,
SRAM_DQ[9],Bidir,PIN_AD2,2,B2_N1,PIN_AD2,2.5 V,,,,,
SRAM_DQ[8],Bidir,PIN_AD1,2,B2_N1,PIN_AD1,2.5 V,,,,,
SRAM_DQ[7],Bidir,PIN_AF7,3,B3_N1,PIN_AF7,2.5 V,,,,,
SRAM_DQ[6],Bidir,PIN_AH6,3,B3_N2,PIN_AH6,2.5 V,,,,,
SRAM_DQ[5],Bidir,PIN_AG6,3,B3_N2,PIN_AG6,2.5 V,,,,,
SRAM_DQ[4],Bidir,PIN_AF6,3,B3_N2,PIN_AF6,2.5 V,,,,,
SRAM_DQ[3],Bidir,PIN_AH4,3,B3_N2,PIN_AH4,2.5 V,,,,,
SRAM_DQ[2],Bidir,PIN_AG4,3,B3_N2,PIN_AG4,2.5 V,,,,,
SRAM_DQ[1],Bidir,PIN_AF4,3,B3_N2,PIN_AF4,2.5 V,,,,,
SRAM_DQ[0],Bidir,PIN_AH3,3,B3_N2,PIN_AH3,2.5 V,,,,,
SRAM_LB_N,Output,PIN_AD4,3,B3_N2,PIN_AD4,2.5 V,,,,,
SRAM_OE_N,Output,PIN_AD5,3,B3_N2,PIN_AD5,2.5 V,,,,,
SRAM_UB_N,Output,PIN_AC4,2,B2_N2,PIN_AC4,2.5 V,,,,,
SRAM_WE_N,Output,PIN_AE8,3,B3_N1,PIN_AE8,2.5 V,,,,,
clock_50mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
pin_led_odata[15],Output,PIN_G15,7,B7_N2,PIN_G15,2.5 V,,,,,
pin_led_odata[14],Output,PIN_F15,7,B7_N2,PIN_F15,2.5 V,,,,,
pin_led_odata[13],Output,PIN_H17,7,B7_N2,PIN_H17,2.5 V,,,,,
pin_led_odata[12],Output,PIN_J16,7,B7_N2,PIN_J16,2.5 V,,,,,
pin_led_odata[11],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
pin_led_odata[10],Output,PIN_J15,7,B7_N2,PIN_J15,2.5 V,,,,,
pin_led_odata[9],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,
pin_led_odata[8],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,
pin_led_odata[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
pin_led_odata[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
pin_led_odata[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
pin_led_odata[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
pin_led_odata[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
pin_led_odata[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
pin_led_odata[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
pin_led_odata[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
pin_led_write,Output,PIN_E21,7,B7_N0,PIN_M24,,,,,,
pin_read,Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
pin_reset,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
pin_sw_addr[1],Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
pin_sw_addr[0],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
pin_sw_data[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
pin_sw_data[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
pin_sw_data[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
pin_sw_data[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
pin_sw_data[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
pin_sw_data[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
pin_sw_data[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
pin_sw_data[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
pin_sw_data[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
pin_sw_data[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
pin_sw_data[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
pin_sw_data[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
pin_sw_data[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
pin_sw_data[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
pin_sw_data[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
pin_sw_data[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
pin_write,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
