# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: D:\2024\FPGA\codeFPGAL_LIB\LCD1602\lcdController.csv
# Generated on: Wed Jun 26 15:58:45 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clock_50mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
en_pin,Output,PIN_L4,1,B1_N1,PIN_L4,2.5 V,,,,,
led_out[0],Output,PIN_G19,7,B7_N2,PIN_AF14,,,,,,
led_out[1],Output,PIN_F19,7,B7_N0,PIN_B8,,,,,,
led_out[2],Output,PIN_E19,7,B7_N0,PIN_C25,,,,,,
led_out[3],Output,PIN_F21,7,B7_N0,PIN_AD15,,,,,,
led_out[4],Output,PIN_F18,7,B7_N1,PIN_U23,,,,,,
led_out[5],Output,PIN_E18,7,B7_N1,PIN_AE23,,,,,,
led_out[6],Output,PIN_J19,7,B7_N2,PIN_E5,,,,,,
led_out[7],Output,PIN_H19,7,B7_N2,PIN_AF12,,,,,,
pinLCD[0],Output,PIN_L3,1,B1_N1,PIN_L3,2.5 V,,,,,
pinLCD[1],Output,PIN_L1,1,B1_N2,PIN_L1,2.5 V,,,,,
pinLCD[2],Output,PIN_L2,1,B1_N2,PIN_L2,2.5 V,,,,,
pinLCD[3],Output,PIN_K7,1,B1_N1,PIN_K7,2.5 V,,,,,
pinLCD[4],Output,PIN_K1,1,B1_N1,PIN_K1,2.5 V,,,,,
pinLCD[5],Output,PIN_K2,1,B1_N1,PIN_K2,2.5 V,,,,,
pinLCD[6],Output,PIN_M3,1,B1_N1,PIN_M3,2.5 V,,,,,
pinLCD[7],Output,PIN_M5,1,B1_N2,PIN_M5,2.5 V,,,,,
rs_pin,Output,PIN_M2,1,B1_N2,PIN_M2,2.5 V,,,,,
rw_pin,Output,PIN_M1,1,B1_N2,PIN_M1,2.5 V,,,,,
