# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: D:\2024\FPGA\codeFPGAL_LIB\LIB_I2C\top_i2c.csv
# Generated on: Sat Aug  3 16:36:40 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clock_50mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
pinAddr_sram[19],Output,PIN_T8,2,B2_N1,PIN_T8,2.5 V,,,,,
pinAddr_sram[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,2.5 V,,,,,
pinAddr_sram[17],Output,PIN_AB9,3,B3_N2,PIN_AB9,2.5 V,,,,,
pinAddr_sram[16],Output,PIN_AC11,3,B3_N0,PIN_AC11,2.5 V,,,,,
pinAddr_sram[15],Output,PIN_AB11,3,B3_N1,PIN_AB11,2.5 V,,,,,
pinAddr_sram[14],Output,PIN_AA4,2,B2_N1,PIN_AA4,2.5 V,,,,,
pinAddr_sram[13],Output,PIN_AC3,2,B2_N1,PIN_AC3,2.5 V,,,,,
pinAddr_sram[12],Output,PIN_AB4,2,B2_N2,PIN_AB4,2.5 V,,,,,
pinAddr_sram[11],Output,PIN_AD3,2,B2_N1,PIN_AD3,2.5 V,,,,,
pinAddr_sram[10],Output,PIN_AF2,2,B2_N2,PIN_AF2,2.5 V,,,,,
pinAddr_sram[9],Output,PIN_T7,2,B2_N0,PIN_T7,2.5 V,,,,,
pinAddr_sram[8],Output,PIN_AF5,3,B3_N2,PIN_AF5,2.5 V,,,,,
pinAddr_sram[7],Output,PIN_AC5,2,B2_N2,PIN_AC5,2.5 V,,,,,
