# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\2024\FPGA\codeFPGAL_LIB\PWM\topLevel.csv
# Generated on: Sat Nov 02 10:12:34 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk_50mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
led_duty[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
led_duty[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
led_duty[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
led_duty[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
led_duty[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
led_duty[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
led_duty[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
led_pwm,Output,PIN_AF24,4,B4_N1,PIN_E21,2.5 V,,,,,
reset,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
sw[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
sw[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
sw[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
sw[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
sw[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
sw[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
sw[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
