# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\2024\FPGA-TEST\SDRAM\sdramControl.csv
# Generated on: Tue Oct 22 10:41:01 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
SDRAM_addr[12],Output,PIN_Y7,2,B2_N2,PIN_Y7,2.5 V,,,,,
SDRAM_addr[11],Output,PIN_AA5,2,B2_N2,PIN_AA5,2.5 V,,,,,
SDRAM_addr[10],Output,PIN_R5,2,B2_N0,PIN_R5,2.5 V,,,,,
SDRAM_addr[9],Output,PIN_Y6,2,B2_N2,PIN_Y6,2.5 V,,,,,
SDRAM_addr[8],Output,PIN_Y5,2,B2_N2,PIN_Y5,2.5 V,,,,,
SDRAM_addr[7],Output,PIN_AA7,2,B2_N2,PIN_AA7,2.5 V,,,,,
SDRAM_addr[6],Output,PIN_W7,2,B2_N2,PIN_W7,2.5 V,,,,,
SDRAM_addr[5],Output,PIN_W8,2,B2_N2,PIN_W8,2.5 V,,,,,
SDRAM_addr[4],Output,PIN_V5,2,B2_N1,PIN_V5,2.5 V,,,,,
SDRAM_addr[3],Output,PIN_P1,1,B1_N2,PIN_P1,2.5 V,,,,,
SDRAM_addr[2],Output,PIN_U8,2,B2_N1,PIN_U8,2.5 V,,,,,
SDRAM_addr[1],Output,PIN_V8,2,B2_N1,PIN_V8,2.5 V,,,,,
SDRAM_addr[0],Output,PIN_R6,2,B2_N0,PIN_R6,2.5 V,,,,,
SDRAM_ba[1],Output,PIN_R4,2,B2_N0,PIN_R4,2.5 V,,,,,
SDRAM_ba[0],Output,PIN_U7,2,B2_N1,PIN_U7,2.5 V,,,,,
SDRAM_cas_n,Output,PIN_V7,2,B2_N1,PIN_V7,2.5 V,,,,,
SDRAM_cke,Output,PIN_AA6,2,B2_N2,PIN_AA6,2.5 V,,,,,
SDRAM_clk_clk,Output,PIN_AE5,3,B3_N2,PIN_AE5,2.5 V,,,,,
SDRAM_cs_n,Output,PIN_T4,2,B2_N0,PIN_T4,2.5 V,,,,,
SDRAM_dq[31],Bidir,PIN_U1,2,B2_N0,PIN_U1,2.5 V,,,,,
SDRAM_dq[30],Bidir,PIN_U4,2,B2_N0,PIN_U4,2.5 V,,,,,
SDRAM_dq[29],Bidir,PIN_T3,2,B2_N0,PIN_T3,2.5 V,,,,,
SDRAM_dq[28],Bidir,PIN_R3,2,B2_N0,PIN_R3,2.5 V,,,,,
SDRAM_dq[27],Bidir,PIN_R2,2,B2_N0,PIN_R2,2.5 V,,,,,
SDRAM_dq[26],Bidir,PIN_R1,2,B2_N0,PIN_R1,2.5 V,,,,,
SDRAM_dq[25],Bidir,PIN_R7,2,B2_N0,PIN_R7,2.5 V,,,,,
SDRAM_dq[24],Bidir,PIN_U5,2,B2_N1,PIN_U5,2.5 V,,,,,
SDRAM_dq[23],Bidir,PIN_L7,1,B1_N2,PIN_L7,2.5 V,,,,,
SDRAM_dq[22],Bidir,PIN_M7,1,B1_N2,PIN_M7,2.5 V,,,,,
SDRAM_dq[21],Bidir,PIN_M4,1,B1_N1,PIN_M4,2.5 V,,,,,
SDRAM_dq[20],Bidir,PIN_N4,1,B1_N2,PIN_N4,2.5 V,,,,,
SDRAM_dq[19],Bidir,PIN_N3,1,B1_N2,PIN_N3,2.5 V,,,,,
SDRAM_dq[18],Bidir,PIN_P2,1,B1_N2,PIN_P2,2.5 V,,,,,
SDRAM_dq[17],Bidir,PIN_L8,1,B1_N2,PIN_L8,2.5 V,,,,,
SDRAM_dq[16],Bidir,PIN_M8,1,B1_N2,PIN_M8,2.5 V,,,,,
SDRAM_dq[15],Bidir,PIN_AC2,2,B2_N1,PIN_AC2,2.5 V,,,,,
SDRAM_dq[14],Bidir,PIN_AB3,2,B2_N1,PIN_AB3,2.5 V,,,,,
SDRAM_dq[13],Bidir,PIN_AC1,2,B2_N1,PIN_AC1,2.5 V,,,,,
SDRAM_dq[12],Bidir,PIN_AB2,2,B2_N0,PIN_AB2,2.5 V,,,,,
SDRAM_dq[11],Bidir,PIN_AA3,2,B2_N1,PIN_AA3,2.5 V,,,,,
SDRAM_dq[10],Bidir,PIN_AB1,2,B2_N0,PIN_AB1,2.5 V,,,,,
SDRAM_dq[9],Bidir,PIN_Y4,2,B2_N1,PIN_Y4,2.5 V,,,,,
SDRAM_dq[8],Bidir,PIN_Y3,2,B2_N1,PIN_Y3,2.5 V,,,,,
SDRAM_dq[7],Bidir,PIN_U3,2,B2_N0,PIN_U3,2.5 V,,,,,
SDRAM_dq[6],Bidir,PIN_V1,2,B2_N0,PIN_V1,2.5 V,,,,,
