# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\2-DU_AN\2024\FPGA\codeFPGAL_LIB\VGA\output_files\top.csv
# Generated on: Mon Nov 24 16:55:04 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clock_50mhz,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
pin_b[7],Output,PIN_D12,8,B8_N0,PIN_D12,2.5 V,,,,,
pin_b[6],Output,PIN_D11,8,B8_N1,PIN_D11,2.5 V,,,,,
pin_b[5],Output,PIN_C12,8,B8_N0,PIN_C12,2.5 V,,,,,
pin_b[4],Output,PIN_A11,8,B8_N0,PIN_A11,2.5 V,,,,,
pin_b[3],Output,PIN_B11,8,B8_N0,PIN_B11,2.5 V,,,,,
pin_b[2],Output,PIN_C11,8,B8_N1,PIN_C11,2.5 V,,,,,
pin_b[1],Output,PIN_A10,8,B8_N0,PIN_A10,2.5 V,,,,,
pin_b[0],Output,PIN_B10,8,B8_N0,PIN_B10,2.5 V,,,,,
pin_bank,Output,PIN_F11,8,B8_N1,PIN_F11,2.5 V,,,,,
pin_g[7],Output,PIN_C9,8,B8_N1,PIN_C9,2.5 V,,,,,
pin_g[6],Output,PIN_F10,8,B8_N1,PIN_F10,2.5 V,,,,,
pin_g[5],Output,PIN_B8,8,B8_N1,PIN_B8,2.5 V,,,,,
pin_g[4],Output,PIN_C8,8,B8_N1,PIN_C8,2.5 V,,,,,
pin_g[3],Output,PIN_H12,8,B8_N1,PIN_H12,2.5 V,,,,,
pin_g[2],Output,PIN_F8,8,B8_N2,PIN_F8,2.5 V,,,,,
pin_g[1],Output,PIN_G11,8,B8_N1,PIN_G11,2.5 V,,,,,
pin_g[0],Output,PIN_G8,8,B8_N2,PIN_G8,2.5 V,,,,,
pin_hs,Output,PIN_G13,8,B8_N0,PIN_G13,2.5 V,,,,,
pin_r[7],Output,PIN_H10,8,B8_N1,PIN_H10,2.5 V,,,,,
pin_r[6],Output,PIN_H8,8,B8_N2,PIN_H8,2.5 V,,,,,
pin_r[5],Output,PIN_J12,8,B8_N0,PIN_J12,2.5 V,,,,,
pin_r[4],Output,PIN_G10,8,B8_N1,PIN_G10,2.5 V,,,,,
pin_r[3],Output,PIN_F12,8,B8_N1,PIN_F12,2.5 V,,,,,
pin_r[2],Output,PIN_D10,8,B8_N1,PIN_D10,2.5 V,,,,,
pin_r[1],Output,PIN_E11,8,B8_N1,PIN_E11,2.5 V,,,,,
pin_r[0],Output,PIN_E12,8,B8_N1,PIN_E12,2.5 V,,,,,
pin_sync,Output,PIN_C10,8,B8_N0,PIN_C10,2.5 V,,,,,
pin_vga_clock,Output,PIN_A12,8,B8_N0,PIN_A12,2.5 V,,,,,
pin_vs,Output,PIN_C13,8,B8_N0,PIN_C13,2.5 V,,,,,
reset,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
sw_b[5],Input,PIN_Y23,5,B5_N2,PIN_B14,,,,,,
sw_b[4],Input,PIN_Y24,5,B5_N2,PIN_A14,,,,,,
sw_b[3],Input,PIN_AA22,5,B5_N2,PIN_C14,,,,,,
sw_b[2],Input,PIN_AA23,5,B5_N2,PIN_J13,,,,,,
sw_b[1],Input,PIN_AA24,5,B5_N2,PIN_E14,,,,,,
sw_b[0],Input,PIN_AB23,5,B5_N2,PIN_D9,,,,,,
sw_g[5],Input,PIN_AB24,5,B5_N2,PIN_AA22,2.5 V,,,,,
sw_g[4],Input,PIN_AC24,5,B5_N2,PIN_AA23,2.5 V,,,,,
sw_g[3],Input,PIN_AB25,5,B5_N1,PIN_AA24,2.5 V,,,,,
sw_g[2],Input,PIN_AC25,5,B5_N2,PIN_AB23,2.5 V,,,,,
sw_g[1],Input,PIN_AB26,5,B5_N1,PIN_AB24,2.5 V,,,,,
sw_g[0],Input,PIN_AD26,5,B5_N2,PIN_AC24,2.5 V,,,,,
sw_r[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
sw_r[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
sw_r[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
sw_r[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
sw_r[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
sw_r[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
